Language_ID	Value	Parameter_ID	Synset
ang	boga	NA	NA
ang	dropa	NA	NA
ang	dropian	NA	NA
ang	drygan	NA	NA
ang	eow	NA	NA
ang	fiscian	NA	NA
ang	hyran	NA	NA
ang	leoht	NA	NA
ang	lihtan	NA	NA
ang	melcan	NA	NA
ang	nægel	NA	NA
ang	næglan	NA	NA
ang	open	NA	NA
ang	raw	NA	NA
ang	sund	NA	NA
ang	weorc	NA	NA
ang	wyrċan	NA	NA
ang	wyscan	NA	NA
ang	þunor	NA	NA
ara	خبر	NA	NA
ara	دار	NA	NA
ara	فاصلة	NA	NA
ara	قوة	NA	NA
ara	هواء	NA	NA
bel	блaгiй	NA	NA
bul	гранка	NA	NA
cat	bord	NA	NA
cat	caber	NA	NA
cat	colp	NA	NA
cat	gafar	NA	NA
cat	so	NA	NA
cat	solus	NA	NA
ces	pálit	NA	NA
ces	pravit	NA	NA
chu	сънъ	NA	NA
dan	lægge	NA	NA
dan	ljós	NA	NA
dan	ljóss	NA	NA
dan	øde	NA	NA
deu	Abstand	NA	NA
deu	Backe	NA	NA
dum	arm	NA	NA
dum	doe	NA	NA
dum	leren	NA	NA
dum	loy	NA	NA
dum	net	NA	NA
dum	out	NA	NA
dum	quaet	NA	NA
dum	rijm	NA	NA
dum	si	NA	NA
dum	stof	NA	NA
dum	stoffe	NA	NA
dum	vallen	NA	NA
dum	vanghen	NA	NA
dum	veghen	NA	NA
dum	vet	NA	NA
dum	voeren	NA	NA
dum	vuul	NA	NA
dum	waer	NA	NA
dum	ware	NA	NA
dum	wat	NA	NA
dum	weke	NA	NA
ell	παστρεύω	NA	NA
eng	blog	NA	NA
eng	bugan	NA	NA
eng	byte	NA	NA
eng	folk	NA	NA
eng	goal	NA	NA
eng	sack	NA	NA
eng	sol	NA	NA
eng	tag	NA	NA
enm	bak	NA	NA
enm	bark	NA	NA
enm	berken	NA	NA
enm	bernen	NA	NA
enm	bile	NA	NA
enm	blo	NA	NA
enm	blowe	NA	NA
enm	blowen	NA	NA
enm	boillen	NA	NA
enm	breken	NA	NA
enm	burn	NA	NA
enm	cacchen	NA	NA
enm	callen	NA	NA
enm	clawe	NA	NA
enm	clene	NA	NA
enm	counten	NA	NA
enm	coveren	NA	NA
enm	dere	NA	NA
enm	driven	NA	NA
enm	drye	NA	NA
enm	ende	NA	NA
enm	enden	NA	NA
enm	flien	NA	NA
enm	given	NA	NA
enm	leve	NA	NA
enm	leven	NA	NA
enm	lien	NA	NA
enm	light	NA	NA
enm	lighten	NA	NA
enm	long	NA	NA
enm	longen	NA	NA
enm	milk	NA	NA
enm	moven	NA	NA
enm	name	NA	NA
enm	ones	NA	NA
enm	place	NA	NA
enm	reyn	NA	NA
enm	ring	NA	NA
enm	risen	NA	NA
enm	rowen	NA	NA
enm	schewen	NA	NA
enm	schinen	NA	NA
enm	sleep	NA	NA
enm	slepen	NA	NA
enm	smoke	NA	NA
enm	sound	NA	NA
enm	sounden	NA	NA
enm	stiken	NA	NA
enm	stikke	NA	NA
enm	stoppe	NA	NA
enm	stoppen	NA	NA
enm	swingen	NA	NA
enm	talken	NA	NA
enm	teren	NA	NA
enm	walken	NA	NA
enm	washen	NA	NA
enm	water	NA	NA
enm	you	NA	NA
fas	آتش	NA	NA
fas	آرزو	NA	NA
fas	برف	NA	NA
fas	تخته	NA	NA
fas	چانه	NA	NA
fas	چیز	NA	NA
fas	دانه	NA	NA
fas	زبان	NA	NA
fas	کنار	NA	NA
fas	کور	NA	NA
fas	گردن	NA	NA
fas	گوشه	NA	NA
fra	balai	NA	NA
fra	douce	NA	NA
fra	place	NA	NA
fra	réussite	NA	NA
frm	choisir	NA	NA
frm	frais	NA	NA
frm	frapper	NA	NA
frm	parler	NA	NA
frm	peau	NA	NA
frm	tirer	NA	NA
frm	tomber	NA	NA
frm	toucher	NA	NA
frm	vieulx	NA	NA
fro	baé	NA	NA
fro	changier	NA	NA
fro	covrir	NA	NA
fro	cumencer	NA	NA
fro	damage	NA	NA
fro	froit	NA	NA
fro	letre	NA	NA
fro	lier	NA	NA
fro	maisun	NA	NA
fro	malvais	NA	NA
fro	mangier	NA	NA
fro	mosse	NA	NA
fro	povoir	NA	NA
fro	torner	NA	NA
fro	tuchier	NA	NA
fro	voloir	NA	NA
gle	búailid	NA	NA
gle	críoch	NA	NA
gle	glao	NA	NA
gle	rogha	NA	NA
gml	arbeiden	NA	NA
gml	arbeit	NA	NA
gml	beginnen	NA	NA
gml	boie	NA	NA
gml	koken	NA	NA
gml	lofte	NA	NA
gml	praten	NA	NA
gml	smerte	NA	NA
gml	smerten	NA	NA
gml	snacken	NA	NA
goh	alt	NA	NA
goh	nagal	NA	NA
goh	skinan	NA	NA
goh	wīda	NA	NA
grc	ἀήρ	NA	NA
grc	ἀκούω	NA	NA
grc	βλέπω	NA	NA
grc	γλῶσσα	NA	NA
grc	διδάσκω	NA	NA
grc	ἐμβαίνω	NA	NA
grc	επαίρνω	NA	NA
grc	κόπτω	NA	NA
grc	λεπτός	NA	NA
grc	μένω	NA	NA
grc	μηλέα	NA	NA
grc	νέος	NA	NA
grc	πηλος	NA	NA
grc	πηλός	NA	NA
grc	πούς	NA	NA
grc	φῶς	NA	NA
grc	χείρ	NA	NA
grc	ψιλός	NA	NA
heb	כשר	NA	NA
heb	עצה	NA	NA
hun	beszéd	NA	NA
hun	ért	NA	NA
hun	fú	NA	NA
hun	új	NA	NA
hye	այն	NA	NA
hye	այս	NA	NA
hye	հաշիվ	NA	NA
hye	տեղ	NA	NA
isl	hryggr	NA	NA
ita	brillare	NA	NA
ita	cantare	NA	NA
ita	la	NA	NA
lat	abscondere	NA	NA
lat	acender	NA	NA
lat	acutus	NA	NA
lat	ad + illam + horam	NA	NA
lat	agitare	NA	NA
lat	ambitare	NA	NA
lat	amicus	NA	NA
lat	ansa	NA	NA
lat	appellare	NA	NA
lat	apprendere	NA	NA
lat	aptare	NA	NA
lat	attendo	NA	NA
lat	audire	NA	NA
lat	audīre	NA	NA
lat	baia	NA	NA
lat	barbatus	NA	NA
lat	battuere	NA	NA
lat	bellus	NA	NA
lat	bonus	NA	NA
lat	bursa	NA	NA
lat	caedo	NA	NA
lat	caldus	NA	NA
lat	cambiare	NA	NA
lat	cantus	NA	NA
lat	captivus	NA	NA
lat	capulum	NA	NA
lat	casa	NA	NA
lat	clamare	NA	NA
lat	cocere	NA	NA
lat	coclear	NA	NA
lat	colligere	NA	NA
lat	collum	NA	NA
lat	comprehendere	NA	NA
lat	computare	NA	NA
lat	computus	NA	NA
lat	conducere	NA	NA
lat	conversare	NA	NA
lat	cooperire	NA	NA
lat	corrigia	NA	NA
lat	credo	NA	NA
lat	cremare	NA	NA
lat	crescere	NA	NA
lat	cuneus	NA	NA
lat	curto	NA	NA
lat	cyma	NA	NA
lat	demorari	NA	NA
lat	densus	NA	NA
lat	dingua	NA	NA
lat	directus	NA	NA
lat	discursus	NA	NA
lat	distantia	NA	NA
lat	dulcis	NA	NA
lat	duplo	NA	NA
lat	durus	NA	NA
lat	eradicare	NA	NA
lat	exponere	NA	NA
lat	extricare	NA	NA
lat	fabulari	NA	NA
lat	facio	NA	NA
lat	fallite	NA	NA
lat	femina	NA	NA
lat	ferus	NA	NA
lat	ferventem	NA	NA
lat	finire	NA	NA
lat	finis	NA	NA
lat	finitus	NA	NA
lat	fluere	NA	NA
lat	for	NA	NA
lat	fortia	NA	NA
lat	fortis	NA	NA
lat	frangere	NA	NA
lat	frigeo	NA	NA
lat	gamba	NA	NA
lat	gelu	NA	NA
lat	gemo	NA	NA
lat	glacia	NA	NA
lat	granum	NA	NA
lat	grossus	NA	NA
lat	gyrare	NA	NA
lat	homo	NA	NA
lat	iaceo	NA	NA
lat	iacio	NA	NA
lat	illic	NA	NA
lat	impingere	NA	NA
lat	inabscondere	NA	NA
lat	incendere	NA	NA
lat	ingannare	NA	NA
lat	insignare	NA	NA
lat	intelligere	NA	NA
lat	intorquēre	NA	NA
lat	intrare	NA	NA
lat	ire	NA	NA
lat	istud	NA	NA
lat	jacere	NA	NA
lat	lavare	NA	NA
lat	laxare	NA	NA
lat	levāre	NA	NA
lat	ligare	NA	NA
lat	lumen	NA	NA
lat	luna	NA	NA
lat	luo	NA	NA
lat	manica	NA	NA
lat	manus	NA	NA
lat	mare	NA	NA
lat	Mars	NA	NA
lat	mens	NA	NA
lat	mergere	NA	NA
lat	mittere	NA	NA
lat	negotium	NA	NA
lat	noctis	NA	NA
lat	novem	NA	NA
lat	novus	NA	NA
lat	nox	NA	NA
lat	nux	NA	NA
lat	pacare	NA	NA
lat	pango	NA	NA
lat	parabolo	NA	NA
lat	partire	NA	NA
lat	pavimentum	NA	NA
lat	pectus	NA	NA
lat	perca	NA	NA
lat	pertica	NA	NA
lat	petiolus	NA	NA
lat	picare	NA	NA
lat	populus	NA	NA
lat	porta	NA	NA
lat	portare	NA	NA
lat	praeparare	NA	NA
lat	prendere	NA	NA
lat	primarius	NA	NA
lat	prīmārius	NA	NA
lat	pro	NA	NA
lat	pulsare	NA	NA
lat	quantitas	NA	NA
lat	quantitatis	NA	NA
lat	quantitatis from quantus	NA	NA
lat	ratio	NA	NA
lat	recens	NA	NA
lat	recipere	NA	NA
lat	recolligere	NA	NA
lat	reus	NA	NA
lat	rumpo	NA	NA
lat	saccus	NA	NA
lat	salire	NA	NA
lat	scire	NA	NA
lat	sentire	NA	NA
lat	sic	NA	NA
lat	sol	NA	NA
lat	solus	NA	NA
lat	sono	NA	NA
lat	spathae	NA	NA
lat	sperare	NA	NA
lat	spissus	NA	NA
lat	stare	NA	NA
lat	status	NA	NA
lat	stlocus	NA	NA
lat	subtilis	NA	NA
lat	subtus	NA	NA
lat	sufflare	NA	NA
lat	talem	NA	NA
lat	taliāre	NA	NA
lat	tempus	NA	NA
lat	termināre	NA	NA
lat	ubi	NA	NA
lat	unire	NA	NA
lat	vara	NA	NA
lat	vellus	NA	NA
lat	veritas	NA	NA
lat	verrere	NA	NA
lat	volare	NA	NA
lat	volo	NA	NA
lat	volvere	NA	NA
lat	vorbă	NA	NA
lav	ēst	NA	NA
lav	karsts	NA	NA
lit	duoti	NA	NA
ltc	金	NA	NA
mga	siblaid	NA	NA
mga	tarngid	NA	NA
nld	aan	NA	NA
nld	loeven	NA	NA
nld	plaats	NA	NA
nld	rug	NA	NA
nld	te	NA	NA
non	andi	NA	NA
non	annarr	NA	NA
non	ár	NA	NA
non	bakki	NA	NA
non	band	NA	NA
non	bein	NA	NA
non	beygja	NA	NA
non	blása	NA	NA
non	blekkja	NA	NA
non	brjóta	NA	NA
non	bú	NA	NA
non	búa	NA	NA
non	draga	NA	NA
non	dýr	NA	NA
non	dýrr	NA	NA
non	einn	NA	NA
non	enda	NA	NA
non	endi	NA	NA
non	fá	NA	NA
non	fár	NA	NA
non	fara	NA	NA
non	flýja	NA	NA
non	fólk	NA	NA
non	frjósa	NA	NA
non	gæta	NA	NA
non	gamall	NA	NA
non	ganga	NA	NA
non	gefa	NA	NA
non	grípa	NA	NA
non	grǫf	NA	NA
non	hæð	NA	NA
non	hár	NA	NA
non	haugr	NA	NA
non	hefja	NA	NA
non	heitr	NA	NA
non	heyra	NA	NA
non	hlaupa	NA	NA
non	hlið	NA	NA
non	hǫggva	NA	NA
non	hreiðr	NA	NA
non	hringr	NA	NA
non	kló	NA	NA
non	korn	NA	NA
non	krókr	NA	NA
non	lypta	NA	NA
non	maðr	NA	NA
non	magi	NA	NA
non	mál	NA	NA
non	nagl	NA	NA
non	œskja	NA	NA
non	ósk	NA	NA
non	reiða	NA	NA
non	réttr	NA	NA
non	ró	NA	NA
non	róa	NA	NA
non	sá	NA	NA
non	setja	NA	NA
non	sjóða	NA	NA
non	skeið	NA	NA
non	skinn	NA	NA
non	skjóta	NA	NA
non	sǫk	NA	NA
non	søkkva	NA	NA
non	stafr	NA	NA
non	stíga	NA	NA
non	stinga	NA	NA
non	svá	NA	NA
non	sýnask	NA	NA
non	sýnast	NA	NA
non	tak	NA	NA
non	tala	NA	NA
non	tré	NA	NA
non	vænta	NA	NA
non	vakr	NA	NA
non	þak	NA	NA
obt	argant	NA	NA
obt	guodoc	NA	NA
odt	etan	NA	NA
odt	morgan	NA	NA
odt	weitha	NA	NA
oge	ხელი	NA	NA
osp	fablar	NA	NA
osp	frido	NA	NA
osp	lamar	NA	NA
osp	lejar	NA	NA
osp	omne	NA	NA
ota	پاره	NA	NA
otk	barmaq	NA	NA
