Language_ID	Value	Source_ID	Source_Value
abk	ааира	NA	NA
abk	аара	NA	NA
abk	Аба	NA	NA
abk	аба-	NA	NA
abk	абааҧсы	NA	NA
abk	абаара	NA	NA
abk	абара	NA	NA
abk	абжьара	NA	NA
abk	абналара	NA	NA
abk	абылра	NA	NA
abk	агара	NA	NA
abk	агылара	NA	NA
abk	адгьыл	NA	NA
abk	адыр	NA	NA
abk	адырра	NA	NA
abk	аеҵəа	NA	NA
abk	Ажə	NA	NA
abk	ажəра	NA	NA
abk	ажәа	NA	NA
abk	ажра	NA	NA
abk	ажьара	NA	NA
abk	азҳара	NA	NA
abk	аӡара	NA	NA
abk	аӡра	NA	NA
abk	аиҭаҵра	NA	NA
abk	аицәажәара	NA	NA
abk	акəакь	NA	NA
abk	акала	NA	NA
abk	акаҳара	NA	NA
abk	акнаҳара	NA	NA
abk	акра	NA	NA
abk	акы	NA	NA
abk	акьат	NA	NA
abk	акьаҿ	NA	NA
abk	ақəршəра	NA	NA
abk	аҟалара	NA	NA
abk	ала	NA	NA
abk	алагара	NA	NA
abk	алада	NA	NA
abk	алашара	NA	NA
abk	алгара	NA	NA
abk	амахə	NA	NA
abk	амахəҭа	NA	NA
abk	амза	NA	NA
abk	амч	NA	NA
abk	амш	NA	NA
abk	амҩа	NA	NA
abk	анхара	NA	NA
abk	аныҟəара	NA	NA
abk	аҧара	NA	NA
abk	аҧжəара	NA	NA
abk	аҧсра	NA	NA
abk	аҧхасҭатəра	NA	NA
abk	аҧҳəыс	NA	NA
abk	аҧшаара	NA	NA
abk	аҧшӡа	NA	NA
abk	аҧынҵа	NA	NA
abk	аҧырра	NA	NA
abk	аҧырхагахара	NA	NA
abk	ара	NA	NA
abk	араҟа	NA	NA
abk	арбара	NA	NA
abk	аргылара	NA	NA
abk	аркра	NA	NA
abk	арҟəра	NA	NA
abk	архəара	NA	NA
abk	асакь	NA	NA
abk	асаркьа	NA	NA
abk	асра	NA	NA
abk	атəара	NA	NA
abk	атата	NA	NA
abk	аҭаацəа	NA	NA
abk	аҭара	NA	NA
abk	аҭахра	NA	NA
abk	аҭыҧ	NA	NA
abk	аура	NA	NA
abk	аусура	NA	NA
abk	афатə	NA	NA
abk	ахəа	NA	NA
abk	ахəаҧшра	NA	NA
abk	ахəда	NA	NA
abk	ахəмарра	NA	NA
abk	ахара	NA	NA
abk	ахаҵа	NA	NA
abk	ахықə	NA	NA
abk	ахь-	NA	NA
abk	ахьчара	NA	NA
abk	ахьшəашəа	NA	NA
abk	аҳəара	NA	NA
abk	аҳара	NA	NA
abk	ацəа	NA	NA
abk	ацəажəара	NA	NA
abk	ацəаҳəа	NA	NA
abk	ацəцара	NA	NA
abk	ацара	NA	NA
abk	аццакра	NA	NA
abk	аҵəахра	NA	NA
abk	аҵəҵəасра	NA	NA
abk	аҵаа	NA	NA
abk	аҵаара	NA	NA
abk	аҵар	NA	NA
abk	аччара	NA	NA
abk	аҽыҭ	NA	NA
abk	аҿаҳəара	NA	NA
abk	ашəара	NA	NA
abk	ашəҟəы	NA	NA
abk	ашəра	NA	NA
abk	ашара	NA	NA
abk	ашоура	NA	NA
abk	ашра	NA	NA
abk	ашьапхыц	NA	NA
abk	ашьапы	NA	NA
abk	ашьҭыбжь	NA	NA
abk	аҩада	NA	NA
abk	зны	NA	NA
abk	иабыкуу	NA	NA
abk	нас	NA	NA
ady	азыфагу	NA	NA
ady	ар	NA	NA
ady	ардэдэм	NA	NA
ady	асыхьатым	NA	NA
ady	бгъэ́	NA	NA
ady	бгъэгумэкӏын	NA	NA
ady	бгыры́пх	NA	NA
ady	гу	NA	NA
ady	гущыӏ	NA	NA
ady	гъаблэ́	NA	NA
ady	гъо́гу	NA	NA
ady	гъэжъэ́н	NA	NA
ady	гъэпцӏэ́н	NA	NA
ady	гъэсысын	NA	NA
ady	дахэ́	NA	NA
ady	джыри	NA	NA
ady	дзыо́	NA	NA
ady	дыкъын	NA	NA
ady	егъэджэ́н	NA	NA
ady	еджэ́н	NA	NA
ady	епхын	NA	NA
ady	епщэ́н	NA	NA
ady	еты́н	NA	NA
ady	жъы	NA	NA
ady	занкӏэу	NA	NA
ady	зы	NA	NA
ady	зэхэхын	NA	NA
ady	зэӏэтхъы́н	NA	NA
ady	къежьэн	NA	NA
ady	къо	NA	NA
ady	къогъу	NA	NA
ady	къутэн	NA	NA
ady	къытехы́н	NA	NA
ady	къыхэхы́н	NA	NA
ady	къэба́р	NA	NA
ady	къэубыты́н	NA	NA
ady	къэухъумэн	NA	NA
ady	къэхъун	NA	NA
ady	кӏон	NA	NA
ady	кӏуачӏэ́	NA	NA
ady	кӏы́шъу	NA	NA
ady	кӏэ	NA	NA
ady	кӏэлэцӏы́кӏу	NA	NA
ady	лъыптын	NA	NA
ady	лъэкӏы́н	NA	NA
ady	лъэ́ш	NA	NA
ady	макъэ	NA	NA
ady	мыжъо́	NA	NA
ady	ныбджэгъу	NA	NA
ady	нэужым	NA	NA
ady	нэфын	NA	NA
ady	орыжъ	NA	NA
ady	плъытэ́н	NA	NA
ady	плъэн	NA	NA
ady	плъэшъун	NA	NA
ady	псынжъы	NA	NA
ady	птын	NA	NA
ady	пхъэнкӏы́н	NA	NA
ady	пчъагъэ́	NA	NA
ady	пчыхьы́пӏ	NA	NA
ady	пытэ́	NA	NA
ady	пӏуакӏэ́	NA	NA
ady	сымэджэ́н	NA	NA
ady	такъы́р	NA	NA
ady	теон	NA	NA
ady	техъо́н	NA	NA
ady	тхъу	NA	NA
ady	тхьамыкӏагъу	NA	NA
ady	тыдэ́	NA	NA
ady	уеӏункӏын	NA	NA
ady	узы	NA	NA
ady	унэ́	NA	NA
ady	ухы́н	NA	NA
ady	хъахъ	NA	NA
ady	хъун	NA	NA
ady	хъупӏэ́	NA	NA
ady	хъура́й	NA	NA
ady	хъые́н	NA	NA
ady	хы	NA	NA
ady	хэгъэнэ́н	NA	NA
ady	хэхъо́н	NA	NA
ady	цэ	NA	NA
ady	цӏэ	NA	NA
ady	чъыгы́	NA	NA
ady	чъыӏэ́	NA	NA
ady	чъыӏэтагъ	NA	NA
ady	чъэн	NA	NA
ady	чъэпхъыгъ	NA	NA
ady	чӏ́ыгу	NA	NA
ady	чӏыпӏэ́	NA	NA
ady	шхъуантӏэ	NA	NA
ady	шхэн	NA	NA
ady	шъо	NA	NA
ady	шъуин	NA	NA
ady	шъун	NA	NA
ady	шъхьэ́	NA	NA
ady	шъыпкъэ́	NA	NA
