	Unnamed: 0	Unnamed: 0.1	Language_ID	Value	Source_ID	Source_Value	Language	Source_Language	Etymology_raw
0	0	0	abk	ааира			Abkhaz	0	0
1	1	1	abk	аара			Abkhaz	0	0
2	2	2	abk	аба			Abkhaz	0	0
3	3	3	abk	аба-			Abkhaz	0	0
4	4	4	abk	абааҧсы			Abkhaz	0	0
5	5	5	abk	абаара			Abkhaz	0	0
6	6	6	abk	абара			Abkhaz	0	0
7	7	7	abk	абжьара			Abkhaz	0	0
8	8	8	abk	абналара			Abkhaz	0	0
9	9	9	abk	абылра			Abkhaz	0	0
10	10	10	abk	агара			Abkhaz	0	0
11	11	11	abk	агылара			Abkhaz	0	0
12	12	12	abk	адгьыл			Abkhaz	0	"Cognate with Abaza адгьы́л (ādg̍ə́l); compare Georgian ადგილი (adgili).
"
13	13	13	abk	адыр			Abkhaz	0	0
14	14	14	abk	адырра			Abkhaz	0	0
15	15	15	abk	аеҵəа			Abkhaz	0	0
16	16	16	abk	ажə			Abkhaz	0	0
17	17	17	abk	ажəра			Abkhaz	0	0
18	18	18	abk	ажәа			Abkhaz	0	0
19	19	19	abk	ажра			Abkhaz	0	0
20	20	20	abk	ажьара			Abkhaz	0	0
21	21	21	abk	азҳара			Abkhaz	0	0
22	22	22	abk	аӡара			Abkhaz	0	0
23	23	23	abk	аӡра			Abkhaz	0	0
24	24	24	abk	аиҭаҵра			Abkhaz	0	0
25	25	25	abk	аицәажәара			Abkhaz	0	0
26	26	26	abk	акəакь			Abkhaz	0	0
27	27	27	abk	акала			Abkhaz	0	0
28	28	28	abk	акаҳара			Abkhaz	0	0
29	29	29	abk	акнаҳара			Abkhaz	0	0
30	30	30	abk	акра			Abkhaz	0	0
31	31	31	abk	акы			Abkhaz	0	0
32	32	32	abk	акьат			Abkhaz	0	0
33	33	33	abk	акьаҿ			Abkhaz	0	0
34	34	34	abk	ақəршəра			Abkhaz	0	0
35	35	35	abk	аҟалара			Abkhaz	0	0
36	36	36	abk	ала			Abkhaz	0	0
37	37	37	abk	алагара			Abkhaz	0	0
38	38	38	abk	алада			Abkhaz	0	0
39	39	39	abk	алашара			Abkhaz	0	0
40	40	40	abk	алгара			Abkhaz	0	0
41	41	41	abk	амахə			Abkhaz	0	0
42	42	42	abk	амахəҭа			Abkhaz	0	0
43	43	43	abk	амза			Abkhaz	0	0
44	44	44	abk	амч			Abkhaz	0	0
45	45	45	abk	амш			Abkhaz	0	0
46	46	46	abk	амҩа			Abkhaz	0	0
47	47	47	abk	анхара			Abkhaz	0	0
48	48	48	abk	аныҟəара			Abkhaz	0	0
49	49	49	abk	аҧара			Abkhaz	0	0
50	50	50	abk	аҧжəара			Abkhaz	0	0
51	51	51	abk	аҧсра			Abkhaz	0	0
52	52	52	abk	аҧхасҭатəра			Abkhaz	0	0
53	53	53	abk	аҧҳəыс			Abkhaz	0	0
54	54	54	abk	аҧшаара			Abkhaz	0	0
55	55	55	abk	аҧшӡа			Abkhaz	0	0
56	56	56	abk	аҧынҵа			Abkhaz	0	"Compare Old Armenian պինչ (pinčʿ).
"
57	57	57	abk	аҧырра			Abkhaz	0	0
58	58	58	abk	аҧырхагахара			Abkhaz	0	0
59	59	59	abk	ара			Abkhaz	0	0
60	60	60	abk	араҟа			Abkhaz	0	0
61	61	61	abk	арбара			Abkhaz	0	0
62	62	62	abk	аргылара			Abkhaz	0	0
63	63	63	abk	аркра			Abkhaz	0	0
64	64	64	abk	арҟəра			Abkhaz	0	0
65	65	65	abk	архəара			Abkhaz	0	0
66	66	66	abk	асакь			Abkhaz	0	0
67	67	67	abk	асаркьа			Abkhaz	0	0
68	68	68	abk	асра			Abkhaz	0	0
69	69	69	abk	атəара			Abkhaz	0	0
70	70	70	abk	атата			Abkhaz	0	0
71	71	71	abk	аҭаацəа			Abkhaz	0	0
72	72	72	abk	аҭара			Abkhaz	0	0
73	73	73	abk	аҭахра			Abkhaz	0	0
74	74	74	abk	аҭыҧ			Abkhaz	0	0
75	75	75	abk	аура			Abkhaz	0	0
76	76	76	abk	аусура			Abkhaz	0	0
77	77	77	abk	афатə			Abkhaz	0	0
78	78	78	abk	ахəа			Abkhaz	0	0
79	79	79	abk	ахəаҧшра			Abkhaz	0	0
80	80	80	abk	ахəда			Abkhaz	0	0
81	81	81	abk	ахəмарра			Abkhaz	0	0
82	82	82	abk	ахара			Abkhaz	0	0
83	83	83	abk	ахаҵа			Abkhaz	0	0
84	84	84	abk	ахықə			Abkhaz	0	0
85	85	85	abk	ахь-			Abkhaz	0	0
86	86	86	abk	ахьчара			Abkhaz	0	0
87	87	87	abk	ахьшəашəа			Abkhaz	0	0
88	88	88	abk	аҳəара			Abkhaz	0	0
89	89	89	abk	аҳара			Abkhaz	0	0
90	90	90	abk	ацəа			Abkhaz	0	0
91	91	91	abk	ацəажəара			Abkhaz	0	0
92	92	92	abk	ацəаҳəа			Abkhaz	0	0
93	93	93	abk	ацəцара			Abkhaz	0	0
94	94	94	abk	ацара			Abkhaz	0	0
95	95	95	abk	аццакра			Abkhaz	0	0
96	96	96	abk	аҵəахра			Abkhaz	0	0
97	97	97	abk	аҵəҵəасра			Abkhaz	0	0
98	98	98	abk	аҵаа			Abkhaz	0	0
99	99	99	abk	аҵаара			Abkhaz	0	0
100	100	100	abk	аҵар			Abkhaz	0	0
101	101	101	abk	аччара			Abkhaz	0	0
102	102	102	abk	аҽыҭ			Abkhaz	0	0
103	103	103	abk	аҿаҳəара			Abkhaz	0	0
104	104	104	abk	ашəара			Abkhaz	0	0
105	105	105	abk	ашəҟəы			Abkhaz	0	0
106	106	106	abk	ашəра			Abkhaz	0	0
107	107	107	abk	ашара			Abkhaz	0	0
108	108	108	abk	ашоура			Abkhaz	0	0
109	109	109	abk	ашра			Abkhaz	0	0
110	110	110	abk	ашьапхыц			Abkhaz	0	0
111	111	111	abk	ашьапы			Abkhaz	0	"Cognate with Adyghe лъэ (łă).
"
112	112	112	abk	ашьҭыбжь			Abkhaz	0	0
113	113	113	abk	аҩада			Abkhaz	0	0
114	114	114	abk	зны			Abkhaz	0	0
115	115	115	abk	иабыкуу			Abkhaz	0	0
116	116	116	abk	нас			Abkhaz	0	0
117	117	117	ady	азыфагу			Adyghe	0	0
118	118	118	ady	ар			Adyghe	0	0
119	119	119	ady	ардэдэм			Adyghe	0	0
120	120	120	ady	асыхьатым			Adyghe	0	0
121	121	121	ady	бгъэ́			Adyghe	0	0
122	122	122	ady	бгъэгумэкӏын			Adyghe	0	0
123	123	123	ady	бгыры́пх			Adyghe	0	0
124	124	124	ady	гу			Adyghe	0	"From Proto-Circassian *gʷǝ (“heart”).
"
125	125	125	ady	гущыӏ			Adyghe	0	0
126	126	126	ady	гъаблэ́			Adyghe	0	0
127	127	127	ady	гъо́гу			Adyghe	0	0
128	128	128	ady	гъэжъэ́н			Adyghe	0	0
129	129	129	ady	гъэпцӏэ́н			Adyghe	0	0
130	130	130	ady	гъэсысын			Adyghe	0	0
131	131	131	ady	дахэ́			Adyghe	0	0
132	132	132	ady	джыри			Adyghe	0	0
133	133	133	ady	дзыо́			Adyghe	0	0
134	134	134	ady	дыкъын			Adyghe	0	0
135	135	135	ady	егъэджэ́н			Adyghe	0	0
136	136	136	ady	еджэ́н			Adyghe	0	0
137	137	137	ady	епхын			Adyghe	0	0
138	138	138	ady	епщэ́н			Adyghe	0	0
139	139	139	ady	еты́н			Adyghe	0	0
140	140	140	ady	жъы			Adyghe	0	"From Proto-Circassian *ʐə.
"
141	141	141	ady	занкӏэу			Adyghe	0	0
142	142	142	ady	зы			Adyghe	0	"From Proto-Circassian zə.
"
143	143	143	ady	зэхэхын			Adyghe	0	0
144	144	144	ady	зэӏэтхъы́н			Adyghe	0	0
145	145	145	ady	къежьэн			Adyghe	0	0
146	146	146	ady	къо			Adyghe	0	0
147	147	147	ady	къогъу			Adyghe	0	0
148	148	148	ady	къутэн			Adyghe	0	0
149	149	149	ady	къытехы́н			Adyghe	0	0
150	150	150	ady	къыхэхы́н			Adyghe	0	0
151	151	151	ady	къэба́р			Adyghe	0	0
152	152	152	ady	къэубыты́н			Adyghe	0	0
153	153	153	ady	къэухъумэн			Adyghe	0	0
154	154	154	ady	къэхъун			Adyghe	0	0
155	155	155	ady	кӏон			Adyghe	0	0
156	156	156	ady	кӏуачӏэ́			Adyghe	0	0
157	157	157	ady	кӏы́шъу			Adyghe	0	0
158	158	158	ady	кӏэ			Adyghe	0	"From Proto-Circassian *kʲʼa.
"
159	159	159	ady	кӏэлэцӏы́кӏу			Adyghe	0	0
160	160	160	ady	лъыптын			Adyghe	0	0
161	161	161	ady	лъэкӏы́н			Adyghe	0	0
162	162	162	ady	лъэ́ш			Adyghe	0	0
163	163	163	ady	макъэ			Adyghe	0	0
164	164	164	ady	мыжъо́			Adyghe	0	0
165	165	165	ady	ныбджэгъу			Adyghe	0	0
166	166	166	ady	нэужым			Adyghe	0	0
167	167	167	ady	нэфын			Adyghe	0	0
168	168	168	ady	орыжъ			Adyghe	0	0
169	169	169	ady	плъытэ́н			Adyghe	0	0
170	170	170	ady	плъэн			Adyghe	0	0
171	171	171	ady	плъэшъун			Adyghe	0	0
172	172	172	ady	псынжъы			Adyghe	0	0
173	173	173	ady	птын			Adyghe	0	0
174	174	174	ady	пхъэнкӏы́н			Adyghe	0	0
175	175	175	ady	пчъагъэ́			Adyghe	0	0
176	176	176	ady	пчыхьы́пӏ			Adyghe	0	0
177	177	177	ady	пытэ́			Adyghe	0	0
178	178	178	ady	пӏуакӏэ́			Adyghe	0	0
179	179	179	ady	сымэджэ́н			Adyghe	0	0
180	180	180	ady	такъы́р			Adyghe	0	0
181	181	181	ady	теон			Adyghe	0	0
182	182	182	ady	техъо́н			Adyghe	0	0
183	183	183	ady	тхъу			Adyghe	0	0
184	184	184	ady	тхьамыкӏагъу			Adyghe	0	тхьамыкӏ (tḥāməč̣̍) +‎ -гъу (-ġ°)
185	185	185	ady	тыдэ́			Adyghe	0	0
186	186	186	ady	уеӏункӏын			Adyghe	0	0
187	187	187	ady	узы			Adyghe	0	0
188	188	188	ady	унэ́			Adyghe	0	0
189	189	189	ady	ухы́н			Adyghe	0	0
190	190	190	ady	хъахъ			Adyghe	0	0
191	191	191	ady	хъун			Adyghe	0	0
192	192	192	ady	хъупӏэ́			Adyghe	0	0
193	193	193	ady	хъура́й			Adyghe	0	0
194	194	194	ady	хъые́н			Adyghe	0	0
195	195	195	ady	хы			Adyghe	0	0
196	196	196	ady	хэгъэнэ́н			Adyghe	0	0
197	197	197	ady	хэхъо́н			Adyghe	0	0
198	198	198	ady	цэ			Adyghe	0	0
199	199	199	ady	цӏэ			Adyghe	0	0
200	200	200	ady	чъыгы́			Adyghe	0	0
201	201	201	ady	чъыӏэ́			Adyghe	0	0
202	202	202	ady	чъыӏэтагъ			Adyghe	0	0
203	203	203	ady	чъэн			Adyghe	0	0
204	204	204	ady	чъэпхъыгъ			Adyghe	0	0
205	205	205	ady	чӏ́ыгу			Adyghe	0	0
206	206	206	ady	чӏыпӏэ́			Adyghe	0	0
207	207	207	ady	шхъуантӏэ			Adyghe	0	0
208	208	208	ady	шхэн			Adyghe	0	0
209	209	209	ady	шъо			Adyghe	0	From Proto-Circassian *ɕʷa
210	210	210	ady	шъуин			Adyghe	0	0
211	211	211	ady	шъун			Adyghe	0	0
212	212	212	ady	шъхьэ́			Adyghe	0	0
213	213	213	ady	шъыпкъэ́			Adyghe	0	0
214	214	214	ady	шы			Adyghe	0	"From Proto-Circassian *t͡ʂʰə (“horse”).
"
215	215	215	ady	шӏонгъоны́гъ			Adyghe	0	0
216	216	216	ady	шӏу плъэгъу́н			Adyghe	0	0
217	217	217	ady	шӏын			Adyghe	0	0
218	218	218	ady	шӏы́н			Adyghe	0	0
219	219	219	ady	щынэ́н			Adyghe	0	0
220	220	220	ady	щэн			Adyghe	0	0
221	221	221	ady	ыужыкӏэ́			Adyghe	0	0
222	222	222	ady	ычӏэкӏэ́			Adyghe	0	0
223	223	223	ady	ӏужъу́			Adyghe	0	0
224	224	224	ady	ӏэбжъа́н			Adyghe	0	0
225	225	225	ady	ӏэты́н			Adyghe	0	0
226	226	226	ady	ӏэхъуа́мб			Adyghe	0	0
227	227	227	ain	abe			Hokkaido Ainu	0	0
228	228	228	ain	ahun			Hokkaido Ainu	0	0
229	229	229	ain	ami			Hokkaido Ainu	0	0
230	230	230	ain	arapa			Hokkaido Ainu	0	0
231	231	231	ain	are			Hokkaido Ainu	0	0
232	232	232	ain	ash			Hokkaido Ainu	0	0
233	233	233	ain	ashikipet			Hokkaido Ainu	0	0
234	234	234	ain	ataye-kore			Hokkaido Ainu	0	0
235	235	235	ain	cha			Hokkaido Ainu	0	0
236	236	236	ain	chup			Hokkaido Ainu	0	0
237	237	237	ain	een			Hokkaido Ainu	0	0
238	238	238	ain	epungine			Hokkaido Ainu	0	0
239	239	239	ain	eraman			Hokkaido Ainu	0	0
240	240	240	ain	etu			Hokkaido Ainu	0	0
241	241	241	ain	hachiri			Hokkaido Ainu	0	0
242	242	242	ain	hopuni			Hokkaido Ainu	0	0
243	243	243	ain	hotuye			Hokkaido Ainu	0	0
244	244	244	ain	ibehe			Hokkaido Ainu	0	0
245	245	245	ain	ika			Hokkaido Ainu	0	0
246	246	246	ain	ita			Hokkaido Ainu	0	0
247	247	247	ain	kamui			Hokkaido Ainu	0	0
248	248	248	ain	kamure			Hokkaido Ainu	0	0
249	249	249	ain	kap			Hokkaido Ainu	0	0
250	250	250	ain	kara			Hokkaido Ainu	0	0
251	251	251	ain	kem			Hokkaido Ainu	0	0
252	252	252	ain	ker			Hokkaido Ainu	0	0
253	253	253	ain	kes			Hokkaido Ainu	0	0
254	254	254	ain	ki			Hokkaido Ainu	0	0
255	255	255	ain	kik			Hokkaido Ainu	0	0
256	256	256	ain	kikkik			Hokkaido Ainu	0	0
257	257	257	ain	kiroro			Hokkaido Ainu	0	0
258	258	258	ain	kiroro-koro			Hokkaido Ainu	0	0
259	259	259	ain	kishma			Hokkaido Ainu	0	0
260	260	260	ain	kotan			Hokkaido Ainu	0	0
261	261	261	ain	ku			Hokkaido Ainu	0	0
262	262	262	ain	kuri			Hokkaido Ainu	0	0
263	263	263	ain	ma			Hokkaido Ainu	0	0
264	264	264	ain	mi			Hokkaido Ainu	0	0
265	265	265	ain	mom			Hokkaido Ainu	0	0
266	266	266	ain	mosh			Hokkaido Ainu	0	0
267	267	267	ain	moshiri			Hokkaido Ainu	0	0
268	268	268	ain	munnuye			Hokkaido Ainu	0	0
269	269	269	ain	ni			Hokkaido Ainu	0	0
270	270	270	ain	nin			Hokkaido Ainu	0	0
271	271	271	ain	nipeki-at			Hokkaido Ainu	0	0
272	272	272	ain	nitek			Hokkaido Ainu	0	0
273	273	273	ain	niwatori-chikap			Hokkaido Ainu	0	0
274	274	274	ain	nu			Hokkaido Ainu	0	(This etymology is missing or incomplete. Please add to it, or discuss it at the Etymology scriptorium.)
275	275	275	ain	numi			Hokkaido Ainu	0	0
276	276	276	ain	oman			Hokkaido Ainu	0	0
277	277	277	ain	pa			Hokkaido Ainu	0	0
278	278	278	ain	pase			Hokkaido Ainu	0	0
279	279	279	ain	peko			Hokkaido Ainu	0	0
280	280	280	ain	pere			Hokkaido Ainu	0	0
281	281	281	ain	pishki			Hokkaido Ainu	0	0
282	282	282	ain	pukuru			Hokkaido Ainu	0	0
283	283	283	ain	rai			Hokkaido Ainu	0	0
284	284	284	ain	rewe			Hokkaido Ainu	0	0
285	285	285	ain	rok			Hokkaido Ainu	0	0
286	286	286	ain	ru			Hokkaido Ainu	0	0
287	287	287	ain	rusui			Hokkaido Ainu	0	0
288	288	288	ain	sak			Hokkaido Ainu	0	0
289	289	289	ain	shikari			Hokkaido Ainu	0	0
290	290	290	ain	shikkeu			Hokkaido Ainu	0	0
291	291	291	ain	shina			Hokkaido Ainu	0	0
292	292	292	ain	shiri			Hokkaido Ainu	0	0
293	293	293	ain	shishuye			Hokkaido Ainu	0	0
294	294	294	ain	shiunin			Hokkaido Ainu	0	0
295	295	295	ain	shiyeye			Hokkaido Ainu	0	0
296	296	296	ain	shongo			Hokkaido Ainu	0	0
297	297	297	ain	so			Hokkaido Ainu	0	0
298	298	298	ain	tane			Hokkaido Ainu	0	0
299	299	299	ain	tashum			Hokkaido Ainu	0	0
300	300	300	ain	teeda			Hokkaido Ainu	0	0
301	301	301	ain	tek			Hokkaido Ainu	0	0
302	302	302	ain	to			Hokkaido Ainu	0	0
303	303	303	ain	tuk			Hokkaido Ainu	0	0
304	304	304	ain	tura			Hokkaido Ainu	0	0
305	305	305	ain	turu			Hokkaido Ainu	0	0
306	306	306	ain	tusa			Hokkaido Ainu	0	0
307	307	307	ain	uk			Hokkaido Ainu	0	0
308	308	308	ain	ya			Hokkaido Ainu	0	0
309	309	309	ain	yashke			Hokkaido Ainu	0	0
310	310	310	ale	adim haada			Aleut	0	0
311	311	311	ale	agachiisa-			Aleut	0	0
312	312	312	ale	aǵanǵu-ǵ-ulux			Aleut	0	0
313	313	313	ale	agiituda-x́			Aleut	0	0
314	314	314	ale	agu-lix			Aleut	0	0
315	315	315	ale	akalux́			Aleut	0	0
316	316	316	ale	alaǵu-x́			Aleut	0	0
317	317	317	ale	alux́			Aleut	0	0
318	318	318	ale	amgix́si-lix			Aleut	0	0
319	319	319	ale	an'g			Aleut	0	0
320	320	320	ale	anǵ-			Aleut	0	0
321	321	321	ale	anǵaǵi-lix			Aleut	0	0
322	322	322	ale	angali-x́			Aleut	0	0
323	323	323	ale	ani-lix			Aleut	0	0
324	324	324	ale	asx́at-			Aleut	0	0
325	325	325	ale	ataqadim			Aleut	0	0
326	326	326	ale	atxaza-lix			Aleut	0	0
327	327	327	ale	atx́u-x́			Aleut	0	0
328	328	328	ale	ax-six			Aleut	0	0
329	329	329	ale	ax́-six			Aleut	0	0
330	330	330	ale	axt-			Aleut	0	0
331	331	331	ale	ayaga-x́			Aleut	0	0
332	332	332	ale	ayangi-x́			Aleut	0	0
333	333	333	ale	chadu-x́			Aleut	0	0
334	334	334	ale	chiǵana-x́			Aleut	0	0
335	335	335	ale	chigit-			Aleut	0	0
336	336	336	ale	chiklagni-lix			Aleut	0	0
337	337	337	ale	chilgi-lix			Aleut	0	0
338	338	338	ale	chumnax			Aleut	0	0
339	339	339	ale	chuya-x́			Aleut	0	0
340	340	340	ale	hachiǵi-lix			Aleut	0	0
341	341	341	ale	hamiǵ-			Aleut	0	0
342	342	342	ale	haqa-lix			Aleut	0	0
343	343	343	ale	haqat-			Aleut	0	0
344	344	344	ale	haqatana-lix			Aleut	0	0
345	345	345	ale	hax́saasa-lix			Aleut	0	0
346	346	346	ale	hazagaan			Aleut	0	0
347	347	347	ale	hi-lix			Aleut	0	0
348	348	348	ale	hla-x́			Aleut	0	0
349	349	349	ale	husugaan			Aleut	0	0
350	350	350	ale	hyaaga-x́			Aleut	0	0
351	351	351	ale	iǵdux-six			Aleut	0	0
352	352	352	ale	iǵu-lix			Aleut	0	0
353	353	353	ale	ini-x́			Aleut	0	0
354	354	354	ale	iqi-lix			Aleut	0	0
355	355	355	ale	kadmudaǵan			Aleut	0	0
356	356	356	ale	kagi-lix			Aleut	0	0
357	357	357	ale	kalika-x́			Aleut	0	0
358	358	358	ale	katux-six			Aleut	0	0
359	359	359	ale	kayu-x́			Aleut	0	0
360	360	360	ale	kiiǵuusi-x́			Aleut	0	0
361	361	361	ale	kimdux			Aleut	0	0
362	362	362	ale	kinguunu-lix			Aleut	0	0
363	363	363	ale	kuluuma-x́			Aleut	0	0
364	364	364	ale	kumsa-lix			Aleut	0	0
365	365	365	ale	kumsi-lix			Aleut	0	0
366	366	366	ale	luuka-x́			Aleut	0	0
367	367	367	ale	maqa-x́			Aleut	0	0
368	368	368	ale	qaasa-x́			Aleut	0	0
369	369	369	ale	qachx́-			Aleut	0	0
370	370	370	ale	qagalǵí-x́			Aleut	0	0
371	371	371	ale	qaguǵni-lix			Aleut	0	0
372	372	372	ale	qigna-x́			Aleut	0	0
373	373	373	ale	qingana-lix			Aleut	0	0
374	374	374	ale	sa-x́			Aleut	0	0
375	375	375	ale	six́ila-lix			Aleut	0	0
376	376	376	ale	slu-x́			Aleut	0	0
377	377	377	ale	su-lix			Aleut	0	0
378	378	378	ale	sulux-six			Aleut	0	0
379	379	379	ale	sxa-x́			Aleut	0	0
380	380	380	ale	taanga-x́			Aleut	0	0
381	381	381	ale	tagada-x́			Aleut	0	0
382	382	382	ale	tagu-lix			Aleut	0	0
383	383	383	ale	tana-x́			Aleut	0	0
384	384	384	ale	tugida-x́			Aleut	0	0
385	385	385	ale	tungax́-six			Aleut	0	0
386	386	386	ale	tunu-x́			Aleut	0	0
387	387	387	ale	tunux́ta-lix			Aleut	0	0
388	388	388	ale	tuta-lix			Aleut	0	0
389	389	389	ale	uǵala-lix			Aleut	0	0
390	390	390	ale	ula-x́			Aleut	0	0
391	391	391	ale	unuqu-			Aleut	0	0
392	392	392	ale	unuqut-			Aleut	0	0
393	393	393	ale	waadan			Aleut	0	0
394	394	394	ale	yuchx́i-lix			Aleut	0	0
395	395	395	arb	أثر			Standard Arabic	0	"From the root ء ث ر‎ (ʾ-ṯ-r).
"
396	396	396	arb	أحب			Standard Arabic	0	"From the root ح ب ب‎ (ḥ-b-b).
"
397	397	397	arb	أدار			Standard Arabic	0	"From the root د و ر‎ (d-w-r).
"
398	398	398	arb	أكل			Standard Arabic	0	"From Proto-Semitic *ʾakal- (root ء ك ل‎ (ʾ-k-l)).
"
399	399	399	arb	أوقد			Standard Arabic	0	"From the root و ق د‎ (w-q-d).
"
400	400	400	arb	إلى الأمام			Standard Arabic	0	0
401	401	401	arb	انتظر			Standard Arabic	0	From root ن ظ ر‎ (n-ẓ-r)
402	402	402	arb	انقطع			Standard Arabic	0	"From the root ق ط ع‎ (q-ṭ-ʿ).
"
403	403	403	arb	بنت			Standard Arabic	0	"From Proto-Semitic *bint-. Has the Semitic feminine suffix *-at added to the root *bin- of اِبْن‎ (ibn, “son”).
"
404	404	404	arb	بيت			Standard Arabic	0	"From root ب ي ت‎ (b-y-t). From Proto-Semitic *bayt-.
"
405	405	405	arb	تحت			Standard Arabic	0	"Originally a case form of a defective noun تَحْت‎ (taḥt, “location that is below”); see the usage note. From the root ت ح ت‎ (t-ḥ-t).
"
406	406	406	arb	تحرك			Standard Arabic	0	0
407	407	407	arb	ترك			Standard Arabic	0	"From the root ت ر ك‎ (t-r-k).
"
408	408	408	arb	تكلم			Standard Arabic	0	From the root ك ل م‎ (k-l-m)
409	409	409	arb	تل			Standard Arabic	0	"Synchronically from the root ت ل ل‎ (t-l-l). Ultimately from Proto-Semitic *tall- (“hill”).
"
410	410	410	arb	توقف			Standard Arabic	0	"Mediopassive of وَقَّفَ‎ (waqqafa, “to stop (transitive), to bring to a stop”), from the root و ق ف‎ (w-q-f); compare وَقَفَ‎ (waqafa, “to stop (intransitive)”).
"
411	411	411	arb	ثم			Standard Arabic	0	0
412	412	412	arb	جلس			Standard Arabic	0	From the root ج ل س‎ (j-l-s)
413	413	413	arb	جميل			Standard Arabic	0	"From the root ج م ل‎ (j-m-l).
"
414	414	414	arb	حافة			Standard Arabic	0	"From the root ح و ف‎ (ḥ-w-f).
"
