Gloss	Concepticon_ID	Synset
TWIST (AROUND)	3199	NA
SEIZE	855	NA
DAMAGE OR INJURE	3195	NA
MISPLACE	3072	NA
HIRE OR RENT	3213	NA
THIN (OF SHAPE OF OBJECT)	2249	NA
BEGIN OR START	3447	NA
SILENCE	3458	NA
SOUL	811	NA
AND	1577	NA
BECAUSE	1157	NA
IF	1459	NA
OR	1014	NA
HOW	1239	NA
HOW MUCH	531	NA
WHAT	1236	NA
WHEN	1238	NA
WHERE	1237	NA
WHICH	727	NA
WHO	1235	NA
WHY	1270	NA
BE SILENT	48	NA
COMMAND	1998	NA
HINDER OR PREVENT	3201	NA
MARRIAGE OR WEDDING	3182	NA
FATHER-IN-LAW (OF MAN)	2255	NA
MOTHER-IN-LAW (OF MAN)	2257	NA
SON-IN-LAW (OF MAN)	2267	NA
DAUGHTER-IN-LAW (OF MAN)	2265	NA
I	1209	NA
THOU	1215	NA
WE	1212	NA
THEY	817	NA
LOUSE	1392	NA
BREATH OR BREATHE	3183	NA
BE DEAD OR DIE	2101	NA
DROWNED	3187	NA
MIGHTY OR POWERFUL OR STRONG	3188	NA
ALCOHOL (FERMENTED DRINK)	404	NA
BRAID	1043	NA
GARDEN-HOUSE	403	NA
BRANCH OR TWIG	3223	NA
DO OR MAKE	2575	NA
TIN OR TINPLATE	3217	NA
FLASH (VERB)	2377	NA
THUNDER (VERB)	2378	NA
HAIL	609	NA
FROST	2034	NA
POND	2035	NA
PADDY FIELD	140	NA
GROUND	2159	NA
MOUNTAIN	639	NA
STONE	857	NA
IN FRONT OF	1883	NA
BEHIND	1686	NA
INSIDE	1606	NA
OUTSIDE	762	NA
THIS YEAR	513	NA
LAST YEAR	514	NA
JANUARY	2036	NA
FEBRUARY	2037	NA
DAY BEFORE YESTERDAY	1180	NA
DAY AFTER TOMORROW	1179	NA
LEPORID (RABBIT OR HARE)	2345	NA
DRAGON	2038	NA
TIGER	846	NA
MAGPIE	2039	NA
SPARROW	1854	NA
LOCUST	810	NA
BEDBUG	1949	NA
EARTHWORM	2350	NA
LEECH	2273	NA
BUG	1027	NA
WILLOW	818	NA
WILD RICE	3390	NA
BUCKWHEAT	2040	NA
TARO	351	NA
HEMP	2041	NA
PEA	2025	NA
SOYA	2027	NA
CUCUMBER	496	NA
WALNUT	2042	NA
PEACH	2043	NA
PEAR	922	NA
PERSIMMON	2044	NA
SPROUT (SHOOT)	3358	NA
STONE (OF FRUIT)	1762	NA
THORN	124	NA
PERSPIRE OR SWEAT	2458	NA
FAECES (EXCREMENT)	675	NA
URINE	1142	NA
OLD PERSON	725	NA
COLUMN	2045	NA
APRON	2046	NA
HEADDRESS	331	NA
HAT	771	NA
BAMBOO HAT	2160	NA
STRAW RAINCOAT	3540	NA
STRAW SANDAL	2047	NA
QUILT	2048	NA
HEMP CLOTH	2161	NA
UNCOOKED RICE	3289	NA
COOKED RICE	1191	NA
CONGEE	2049	NA
FAT (FROM ANIMALS)	1282	NA
OIL (FROM PLANTS)	2555	NA
PREPARED FOOD	3542	NA
PLOUGH (INSTRUMENT)	2154	NA
SIEVE (TOOL)	3353	NA
DUSTPAN	2051	NA
BUCKET	2052	NA
SMALL BOWL	2053	NA
CHOPSTICKS	1987	NA
CLAY POT	2055	NA
WOK	2056	NA
DUNG (ANIMAL FAECES)	2057	NA
STOOL	2058	NA
STAIRS	34	NA
FOLK SONG	2059	NA
STORY	2060	NA
MATTER	2150	NA
DEITY	3231	NA
BUDDHA	2061	NA
STRENGTH	202	NA
COST	242	NA
INTEREST	2062	NA
CLOSE (EYES)	2063	NA
PICK	2148	NA
TWIST (TOGETHER)	3236	NA
SCATTER (SEEDS)	2064	NA
TREAD	575	NA
CARRY ON BACK	465	NA
CARRY PERSON ON BACK	2153	NA
CUT (WITH AXE)	3151	NA
PULL UP (RICE SEEDLINGS)	2066	NA
PUT OUT TO PASTURE	2031	NA
FEED	739	NA
STICKING	254	NA
STIR FRY	2162	NA
FRY	991	NA
STEAM (VERB)	2067	NA
SOAK (VERB)	2069	NA
BOIL (SOMETHING)	2492	NA
CUT (WITH KNIFE)	2156	NA
CHOP (INTO PIECES)	2149	NA
CUT (WITH SCISSORS)	2155	NA
WEAR	976	NA
DRY IN SUN	3364	NA
SHAVE	231	NA
COMB (VERB)	2070	NA
LAY (VERB)	2071	NA
HIDE	2486	NA
USE (VERB)	2072	NA
ROB (VERB)	2073	NA
DECEIVE	3230	NA
ANGRY	1826	NA
FEAR (BE AFRAID)	1419	NA
LIKE	1117	NA
THINK	2271	NA
MUST	971	NA
BE ABLE	972	NA
THERE IS OR THERE ARE	2152	NA
DROP	750	NA
BREAK (CLEAVE)	2558	NA
MARRY (AS WOMAN)	2163	NA
MARRY (AS MAN)	2164	NA
GIVE BIRTH	1195	NA
GROW UP	552	NA
SWELL	1573	NA
BARKING	1206	NA
CROW (VERB)	2074	NA
BROOD (VERB)	2075	NA
SPROUT (VERB)	2076	NA
COARSE	2151	NA
